"","year","depth","season","species"
"106",2013,1075,"Fall","Deep-Water Catshark"
"107",2013,1299,"Fall","Deep-Water Catshark"
"108",2013,1282,"Fall","Deep-Water Catshark"
"109",2013,1403,"Fall","Deep-Water Catshark"
"110",2013,1365,"Fall","Deep-Water Catshark"
"111",2013,1324,"Fall","Deep-Water Catshark"
"112",2013,1407,"Fall","Deep-Water Catshark"
"113",2014,1286,"Fall","Deep-Water Catshark"
"114",2014,1402,"Fall","Deep-Water Catshark"
"115",2014,1069,"Fall","Deep-Water Catshark"
"116",2014,1388,"Fall","Deep-Water Catshark"
"117",2014,1308,"Fall","Deep-Water Catshark"
"118",2014,1071,"Fall","Deep-Water Catshark"
"119",2014,1051,"Fall","Deep-Water Catshark"
"120",2014,1304,"Fall","Deep-Water Catshark"
"121",2014,1293,"Fall","Deep-Water Catshark"
"122",2014,1162,"Fall","Deep-Water Catshark"
"123",2014,1297,"Fall","Deep-Water Catshark"
"124",2014,1077,"Fall","Deep-Water Catshark"
"125",2014,1438,"Fall","Deep-Water Catshark"
"126",2014,1342,"Fall","Deep-Water Catshark"
"127",2014,1324,"Fall","Deep-Water Catshark"
"128",2000,1365,"Fall","Deep-Water Catshark"
"129",2000,1401,"Fall","Deep-Water Catshark"
"130",2000,1180,"Fall","Deep-Water Catshark"
"131",2000,1350,"Fall","Deep-Water Catshark"
"132",2000,1325,"Fall","Deep-Water Catshark"
"133",2000,1314,"Fall","Deep-Water Catshark"
"134",2000,1388,"Fall","Deep-Water Catshark"
"135",2000,1167,"Fall","Deep-Water Catshark"
"136",2000,1324,"Fall","Deep-Water Catshark"
"137",2000,1379,"Fall","Deep-Water Catshark"
"138",2000,1277,"Fall","Deep-Water Catshark"
"139",2001,1407,"Fall","Deep-Water Catshark"
"140",2001,1321,"Fall","Deep-Water Catshark"
"141",2001,1228,"Fall","Deep-Water Catshark"
"142",2001,1124,"Fall","Deep-Water Catshark"
"143",2001,1173,"Fall","Deep-Water Catshark"
"144",2001,1184,"Fall","Deep-Water Catshark"
"145",2001,1335,"Fall","Deep-Water Catshark"
"146",2001,1389,"Fall","Deep-Water Catshark"
"147",2001,1109,"Fall","Deep-Water Catshark"
"148",2001,1357,"Fall","Deep-Water Catshark"
"149",2001,1159,"Fall","Deep-Water Catshark"
"150",2001,1350,"Fall","Deep-Water Catshark"
"151",2001,1422,"Fall","Deep-Water Catshark"
"152",2001,476,"Fall","Deep-Water Catshark"
"153",2001,1306,"Fall","Deep-Water Catshark"
"154",2001,1479,"Fall","Deep-Water Catshark"
"155",2001,1201,"Fall","Deep-Water Catshark"
"156",2001,1427,"Fall","Deep-Water Catshark"
"157",2001,1365,"Fall","Deep-Water Catshark"
"158",2002,1358,"Fall","Deep-Water Catshark"
"159",2002,1208,"Fall","Deep-Water Catshark"
"160",2002,1403,"Fall","Deep-Water Catshark"
"161",2002,1159,"Fall","Deep-Water Catshark"
"162",2002,1285,"Fall","Deep-Water Catshark"
"163",2002,1164,"Fall","Deep-Water Catshark"
"164",2002,1344,"Fall","Deep-Water Catshark"
"165",2002,1162,"Fall","Deep-Water Catshark"
"166",2002,1142,"Fall","Deep-Water Catshark"
"167",2002,1312,"Fall","Deep-Water Catshark"
"168",2002,1325,"Fall","Deep-Water Catshark"
"169",2002,1311,"Fall","Deep-Water Catshark"
"170",2003,1404,"Fall","Deep-Water Catshark"
"171",2003,1332,"Fall","Deep-Water Catshark"
"172",2003,1398,"Fall","Deep-Water Catshark"
"173",2003,1444,"Fall","Deep-Water Catshark"
"174",2003,1474,"Fall","Deep-Water Catshark"
"175",2004,1177,"Fall","Deep-Water Catshark"
"176",2004,1331,"Fall","Deep-Water Catshark"
"177",2004,1146,"Fall","Deep-Water Catshark"
"178",2004,1173,"Fall","Deep-Water Catshark"
"179",2004,1401,"Fall","Deep-Water Catshark"
"180",2004,1375,"Fall","Deep-Water Catshark"
"181",2004,1014,"Fall","Deep-Water Catshark"
"182",2004,1168,"Fall","Deep-Water Catshark"
"183",2004,1176,"Fall","Deep-Water Catshark"
"184",2004,1177,"Fall","Deep-Water Catshark"
"185",2004,1280,"Fall","Deep-Water Catshark"
"186",2004,1353,"Fall","Deep-Water Catshark"
"187",2004,1455,"Fall","Deep-Water Catshark"
"188",2004,1415,"Fall","Deep-Water Catshark"
"189",2004,1389,"Fall","Deep-Water Catshark"
"190",2004,1211,"Fall","Deep-Water Catshark"
"191",2004,1325,"Fall","Deep-Water Catshark"
"192",2004,1308,"Fall","Deep-Water Catshark"
"193",2004,1316,"Fall","Deep-Water Catshark"
"194",2005,1203,"Fall","Deep-Water Catshark"
"195",2005,1120,"Fall","Deep-Water Catshark"
"196",2005,1408,"Fall","Deep-Water Catshark"
"197",2005,1408,"Fall","Deep-Water Catshark"
"198",2005,1404,"Fall","Deep-Water Catshark"
"199",2005,1126,"Fall","Deep-Water Catshark"
"200",2005,1311,"Fall","Deep-Water Catshark"
"201",2005,1134,"Fall","Deep-Water Catshark"
"202",2005,1175,"Fall","Deep-Water Catshark"
"203",2005,1328,"Fall","Deep-Water Catshark"
"204",2006,1299,"Fall","Deep-Water Catshark"
"205",2006,1331,"Fall","Deep-Water Catshark"
"206",2006,1226,"Fall","Deep-Water Catshark"
"207",2006,1437,"Fall","Deep-Water Catshark"
"208",2006,1358,"Fall","Deep-Water Catshark"
"209",2006,1086,"Fall","Deep-Water Catshark"
"210",2006,1095,"Fall","Deep-Water Catshark"
"211",2006,1443,"Fall","Deep-Water Catshark"
"212",2006,1081,"Fall","Deep-Water Catshark"
"213",2006,1102,"Fall","Deep-Water Catshark"
"214",2006,1226,"Fall","Deep-Water Catshark"
"215",2006,1220,"Fall","Deep-Water Catshark"
"216",2006,1284,"Fall","Deep-Water Catshark"
"217",2006,1340,"Fall","Deep-Water Catshark"
"218",2006,1303,"Fall","Deep-Water Catshark"
"219",2006,1384,"Fall","Deep-Water Catshark"
"220",2006,1155,"Fall","Deep-Water Catshark"
"221",2006,1164,"Fall","Deep-Water Catshark"
"222",2006,1152,"Fall","Deep-Water Catshark"
"223",2006,1161,"Fall","Deep-Water Catshark"
"224",2006,1332,"Fall","Deep-Water Catshark"
"225",2006,1162,"Fall","Deep-Water Catshark"
"226",2006,1166,"Fall","Deep-Water Catshark"
"227",2007,1370,"Fall","Deep-Water Catshark"
"228",2007,1369,"Fall","Deep-Water Catshark"
"229",2007,1217,"Fall","Deep-Water Catshark"
"230",2007,1178,"Fall","Deep-Water Catshark"
"231",2007,1165,"Fall","Deep-Water Catshark"
"232",2007,1193,"Fall","Deep-Water Catshark"
"233",2007,1404,"Fall","Deep-Water Catshark"
"234",2007,1359,"Fall","Deep-Water Catshark"
"235",2007,1108,"Fall","Deep-Water Catshark"
"236",2007,1371,"Fall","Deep-Water Catshark"
"237",2007,1321,"Fall","Deep-Water Catshark"
"238",2007,1327,"Fall","Deep-Water Catshark"
"239",2007,1252,"Fall","Deep-Water Catshark"
"240",2007,1494,"Fall","Deep-Water Catshark"
"241",2007,1043,"Fall","Deep-Water Catshark"
"242",2007,1150,"Fall","Deep-Water Catshark"
"243",2007,1309,"Fall","Deep-Water Catshark"
"244",2007,1358,"Fall","Deep-Water Catshark"
"245",2007,1101,"Fall","Deep-Water Catshark"
"246",2007,1295,"Fall","Deep-Water Catshark"
"247",2007,1291,"Fall","Deep-Water Catshark"
"248",2008,1327,"Fall","Deep-Water Catshark"
"249",2008,1307,"Fall","Deep-Water Catshark"
"250",2008,1422,"Fall","Deep-Water Catshark"
"251",2008,1376,"Fall","Deep-Water Catshark"
"252",2008,1165,"Fall","Deep-Water Catshark"
"253",2009,1313,"Fall","Deep-Water Catshark"
"254",2009,1090,"Fall","Deep-Water Catshark"
"255",2009,1320,"Fall","Deep-Water Catshark"
"256",2009,1192,"Fall","Deep-Water Catshark"
"257",2009,1311,"Fall","Deep-Water Catshark"
"258",2009,1030,"Fall","Deep-Water Catshark"
"259",2009,1277,"Fall","Deep-Water Catshark"
"260",2009,1303,"Fall","Deep-Water Catshark"
"261",2009,1182,"Fall","Deep-Water Catshark"
"262",2009,1238,"Fall","Deep-Water Catshark"
"263",2009,1412,"Fall","Deep-Water Catshark"
"264",2009,1334,"Fall","Deep-Water Catshark"
"265",2010,1344,"Fall","Deep-Water Catshark"
"266",2010,1312,"Fall","Deep-Water Catshark"
"267",2010,1389,"Fall","Deep-Water Catshark"
"268",2010,1302,"Fall","Deep-Water Catshark"
"269",2010,1361,"Fall","Deep-Water Catshark"
"270",2010,1121,"Fall","Deep-Water Catshark"
"271",2010,1130,"Fall","Deep-Water Catshark"
"272",2010,1307,"Fall","Deep-Water Catshark"
"273",2010,1442,"Fall","Deep-Water Catshark"
"274",2010,1279,"Fall","Deep-Water Catshark"
"275",2010,1396,"Fall","Deep-Water Catshark"
"276",2010,1318,"Fall","Deep-Water Catshark"
"277",1996,314,"Spring","Black Dogfish"
"278",1996,434,"Spring","Black Dogfish"
"279",1996,315,"Spring","Black Dogfish"
"280",1996,430,"Spring","Black Dogfish"
"281",1996,318,"Spring","Black Dogfish"
"282",1996,422,"Spring","Black Dogfish"
"283",1996,327,"Spring","Black Dogfish"
"284",1996,210,"Spring","Black Dogfish"
"285",1996,338,"Spring","Black Dogfish"
"286",1996,449,"Spring","Black Dogfish"
"287",1996,446,"Spring","Black Dogfish"
"288",1996,444,"Spring","Black Dogfish"
"289",1996,457,"Spring","Black Dogfish"
"290",1996,465,"Spring","Black Dogfish"
"291",1996,430,"Spring","Black Dogfish"
"292",1996,425,"Spring","Black Dogfish"
"293",1996,466,"Spring","Black Dogfish"
"294",1996,468,"Spring","Black Dogfish"
"295",1996,463,"Spring","Black Dogfish"
"296",1996,461,"Spring","Black Dogfish"
"297",1996,463,"Spring","Black Dogfish"
"298",1996,462,"Spring","Black Dogfish"
"299",1996,452,"Spring","Black Dogfish"
"300",1996,474,"Spring","Black Dogfish"
"301",1996,488,"Spring","Black Dogfish"
"302",1996,457,"Spring","Black Dogfish"
"303",1996,471,"Spring","Black Dogfish"
"304",1996,353,"Spring","Black Dogfish"
"305",1996,390,"Spring","Black Dogfish"
"306",1996,450,"Spring","Black Dogfish"
"307",1996,462,"Spring","Black Dogfish"
"308",1996,482,"Spring","Black Dogfish"
"309",1996,456,"Spring","Black Dogfish"
"310",1996,437,"Spring","Black Dogfish"
"311",1996,398,"Spring","Black Dogfish"
"312",1996,420,"Spring","Black Dogfish"
"313",1996,401,"Spring","Black Dogfish"
"314",1996,392,"Spring","Black Dogfish"
"316",1996,550,"Spring","Black Dogfish"
"317",1996,600,"Spring","Black Dogfish"
"318",1996,575,"Spring","Black Dogfish"
"319",1996,565,"Spring","Black Dogfish"
"320",1996,455,"Spring","Black Dogfish"
"323",1997,340,"Spring","Black Dogfish"
"324",1997,323,"Spring","Black Dogfish"
"325",1997,449,"Spring","Black Dogfish"
"326",1997,427,"Spring","Black Dogfish"
"327",1997,442,"Spring","Black Dogfish"
"328",1997,436,"Spring","Black Dogfish"
"329",1997,338,"Spring","Black Dogfish"
"330",1997,171,"Spring","Black Dogfish"
"331",1997,411,"Spring","Black Dogfish"
"332",1997,437,"Spring","Black Dogfish"
"333",1997,466,"Spring","Black Dogfish"
"334",1997,454,"Spring","Black Dogfish"
"335",1997,421,"Spring","Black Dogfish"
"336",1997,423,"Spring","Black Dogfish"
"337",1997,462,"Spring","Black Dogfish"
"338",1997,437,"Spring","Black Dogfish"
"339",1997,416,"Spring","Black Dogfish"
"340",1997,467,"Spring","Black Dogfish"
"341",1997,439,"Spring","Black Dogfish"
"342",1997,464,"Spring","Black Dogfish"
"343",1997,497,"Spring","Black Dogfish"
"344",1997,390,"Spring","Black Dogfish"
"345",1997,299,"Spring","Black Dogfish"
"346",1997,252,"Spring","Black Dogfish"
"347",1997,422,"Spring","Black Dogfish"
"348",1997,440,"Spring","Black Dogfish"
"349",1997,458,"Spring","Black Dogfish"
"350",1997,432,"Spring","Black Dogfish"
"351",1997,409,"Spring","Black Dogfish"
"352",1997,349,"Spring","Black Dogfish"
"353",1997,398,"Spring","Black Dogfish"
"354",1997,415,"Spring","Black Dogfish"
"355",1997,349,"Spring","Black Dogfish"
"356",1997,388,"Spring","Black Dogfish"
"358",1997,581,"Fall","Black Dogfish"
"360",1997,312,"Fall","Black Dogfish"
"361",1998,304,"Spring","Black Dogfish"
"362",1998,313,"Spring","Black Dogfish"
"363",1998,357,"Spring","Black Dogfish"
"364",1998,472,"Spring","Black Dogfish"
"365",1998,436,"Spring","Black Dogfish"
"366",1998,425,"Spring","Black Dogfish"
"367",1998,423,"Spring","Black Dogfish"
"368",1998,409,"Spring","Black Dogfish"
"369",1998,310,"Spring","Black Dogfish"
"370",1998,452,"Spring","Black Dogfish"
"371",1998,458,"Spring","Black Dogfish"
"372",1998,461,"Spring","Black Dogfish"
"373",1998,418,"Spring","Black Dogfish"
"374",1998,416,"Spring","Black Dogfish"
"375",1998,459,"Spring","Black Dogfish"
"376",1998,446,"Spring","Black Dogfish"
"377",1998,432,"Spring","Black Dogfish"
"378",1998,459,"Spring","Black Dogfish"
"379",1998,443,"Spring","Black Dogfish"
"380",1998,245,"Spring","Black Dogfish"
"381",1998,107,"Spring","Black Dogfish"
"382",1998,329,"Spring","Black Dogfish"
"383",1998,470,"Spring","Black Dogfish"
"384",1998,470,"Spring","Black Dogfish"
"385",1998,446,"Spring","Black Dogfish"
"386",1998,465,"Spring","Black Dogfish"
"387",1998,489,"Spring","Black Dogfish"
"388",1998,488,"Spring","Black Dogfish"
"389",1998,486,"Spring","Black Dogfish"
"390",1998,398,"Spring","Black Dogfish"
"391",1998,421,"Spring","Black Dogfish"
"392",1998,451,"Spring","Black Dogfish"
"393",1998,445,"Spring","Black Dogfish"
"394",1998,434,"Spring","Black Dogfish"
"395",1998,401,"Spring","Black Dogfish"
"396",1998,408,"Spring","Black Dogfish"
"397",1998,419,"Spring","Black Dogfish"
"398",1998,416,"Spring","Black Dogfish"
"399",1998,395,"Spring","Black Dogfish"
"402",1998,593,"Spring","Black Dogfish"
"406",1999,336,"Spring","Black Dogfish"
"407",1999,318,"Spring","Black Dogfish"
"408",1999,440,"Spring","Black Dogfish"
"409",1999,410,"Spring","Black Dogfish"
"410",1999,419,"Spring","Black Dogfish"
"411",1999,308,"Spring","Black Dogfish"
"412",1999,434,"Spring","Black Dogfish"
"413",1999,439,"Spring","Black Dogfish"
"414",1999,429,"Spring","Black Dogfish"
"415",1999,455,"Spring","Black Dogfish"
"416",1999,416,"Spring","Black Dogfish"
"417",1999,458,"Spring","Black Dogfish"
"418",1999,461,"Spring","Black Dogfish"
"419",1999,457,"Spring","Black Dogfish"
"420",1999,430,"Spring","Black Dogfish"
"421",1999,337,"Spring","Black Dogfish"
"422",1999,260,"Spring","Black Dogfish"
"423",1999,457,"Spring","Black Dogfish"
"424",1999,457,"Spring","Black Dogfish"
"425",1999,453,"Spring","Black Dogfish"
"426",1999,448,"Spring","Black Dogfish"
"427",1999,472,"Spring","Black Dogfish"
"428",1999,455,"Spring","Black Dogfish"
"429",1999,457,"Spring","Black Dogfish"
"430",1999,397,"Spring","Black Dogfish"
"431",1999,480,"Spring","Black Dogfish"
"432",1999,434,"Spring","Black Dogfish"
"433",1999,454,"Spring","Black Dogfish"
"434",1999,484,"Spring","Black Dogfish"
"435",1999,471,"Spring","Black Dogfish"
"436",1999,449,"Spring","Black Dogfish"
"437",1999,432,"Spring","Black Dogfish"
"438",1999,431,"Spring","Black Dogfish"
"439",1999,415,"Spring","Black Dogfish"
"440",1999,416,"Spring","Black Dogfish"
"441",1999,348,"Spring","Black Dogfish"
"442",1999,352,"Spring","Black Dogfish"
"443",1999,402,"Spring","Black Dogfish"
"444",1999,395,"Spring","Black Dogfish"
"446",1999,477,"Spring","Black Dogfish"
"451",1999,600,"Spring","Black Dogfish"
"454",1999,579,"Fall","Black Dogfish"
"455",1999,585,"Fall","Black Dogfish"
"456",1999,587,"Fall","Black Dogfish"
"457",1999,316,"Fall","Black Dogfish"
"459",1999,337,"Fall","Black Dogfish"
"461",2000,329,"Spring","Black Dogfish"
"462",2000,348,"Spring","Black Dogfish"
"463",2000,323,"Spring","Black Dogfish"
"464",2000,319,"Spring","Black Dogfish"
"465",2000,466,"Spring","Black Dogfish"
"466",2000,447,"Spring","Black Dogfish"
"467",2000,437,"Spring","Black Dogfish"
"468",2000,423,"Spring","Black Dogfish"
"469",2000,354,"Spring","Black Dogfish"
"470",2000,433,"Spring","Black Dogfish"
"471",2000,449,"Spring","Black Dogfish"
"472",2000,256,"Spring","Black Dogfish"
"473",2000,461,"Spring","Black Dogfish"
"474",2000,413,"Spring","Black Dogfish"
"475",2000,447,"Spring","Black Dogfish"
"476",2000,456,"Spring","Black Dogfish"
"477",2000,455,"Spring","Black Dogfish"
"478",2000,446,"Spring","Black Dogfish"
"479",2000,455,"Spring","Black Dogfish"
"480",2000,440,"Spring","Black Dogfish"
"481",2000,410,"Spring","Black Dogfish"
"482",2000,359,"Spring","Black Dogfish"
"483",2000,305,"Spring","Black Dogfish"
"484",2000,324,"Spring","Black Dogfish"
"485",2000,445,"Spring","Black Dogfish"
"486",2000,457,"Spring","Black Dogfish"
"487",2000,467,"Spring","Black Dogfish"
"488",2000,485,"Spring","Black Dogfish"
"489",2000,462,"Spring","Black Dogfish"
"490",2000,414,"Spring","Black Dogfish"
"491",2000,427,"Spring","Black Dogfish"
"492",2000,415,"Spring","Black Dogfish"
"493",2000,437,"Spring","Black Dogfish"
"494",2000,413,"Spring","Black Dogfish"
"495",2000,438,"Spring","Black Dogfish"
"496",2000,429,"Spring","Black Dogfish"
"497",2000,459,"Spring","Black Dogfish"
"498",2000,463,"Spring","Black Dogfish"
"500",2000,495,"Spring","Black Dogfish"
"501",2000,594,"Spring","Black Dogfish"
"502",2000,563,"Spring","Black Dogfish"
"506",2001,400,"Spring","Black Dogfish"
"507",2001,323,"Spring","Black Dogfish"
"508",2001,468,"Spring","Black Dogfish"
"509",2001,425,"Spring","Black Dogfish"
"510",2001,442,"Spring","Black Dogfish"
"511",2001,425,"Spring","Black Dogfish"
"512",2001,442,"Spring","Black Dogfish"
"513",2001,444,"Spring","Black Dogfish"
"514",2001,421,"Spring","Black Dogfish"
"515",2001,416,"Spring","Black Dogfish"
"516",2001,449,"Spring","Black Dogfish"
"517",2001,455,"Spring","Black Dogfish"
"518",2001,457,"Spring","Black Dogfish"
"519",2001,455,"Spring","Black Dogfish"
"520",2001,456,"Spring","Black Dogfish"
"521",2001,417,"Spring","Black Dogfish"
"522",2001,341,"Spring","Black Dogfish"
"523",2001,429,"Spring","Black Dogfish"
"524",2001,467,"Spring","Black Dogfish"
"525",2001,463,"Spring","Black Dogfish"
"526",2001,478,"Spring","Black Dogfish"
"527",2001,359,"Spring","Black Dogfish"
"528",2001,341,"Spring","Black Dogfish"
"529",2001,341,"Spring","Black Dogfish"
"530",2001,349,"Spring","Black Dogfish"
"531",2001,440,"Spring","Black Dogfish"
"532",2001,438,"Spring","Black Dogfish"
"533",2001,410,"Spring","Black Dogfish"
"534",2001,432,"Spring","Black Dogfish"
"535",2001,432,"Spring","Black Dogfish"
"536",2001,488,"Spring","Black Dogfish"
"537",2001,488,"Spring","Black Dogfish"
"540",2001,470,"Spring","Black Dogfish"
"541",2002,434,"Spring","Black Dogfish"
"542",2002,406,"Spring","Black Dogfish"
"543",2002,376,"Spring","Black Dogfish"
"544",2002,386,"Spring","Black Dogfish"
"545",2002,215,"Spring","Black Dogfish"
"546",2002,342,"Spring","Black Dogfish"
"547",2002,422,"Spring","Black Dogfish"
"548",2002,445,"Spring","Black Dogfish"
"549",2002,437,"Spring","Black Dogfish"
"550",2002,417,"Spring","Black Dogfish"
"551",2002,461,"Spring","Black Dogfish"
"552",2002,457,"Spring","Black Dogfish"
"553",2002,426,"Spring","Black Dogfish"
"554",2002,447,"Spring","Black Dogfish"
"555",2002,464,"Spring","Black Dogfish"
"556",2002,468,"Spring","Black Dogfish"
"557",2002,482,"Spring","Black Dogfish"
"558",2002,503,"Spring","Black Dogfish"
"559",2002,468,"Spring","Black Dogfish"
"560",2002,459,"Spring","Black Dogfish"
"561",2002,460,"Spring","Black Dogfish"
"562",2002,442,"Spring","Black Dogfish"
"563",2002,427,"Spring","Black Dogfish"
"564",2002,410,"Spring","Black Dogfish"
"565",2002,429,"Spring","Black Dogfish"
"566",2002,460,"Spring","Black Dogfish"
"567",2002,434,"Spring","Black Dogfish"
"568",2002,349,"Spring","Black Dogfish"
"569",2002,444,"Spring","Black Dogfish"
"570",2002,131,"Spring","Black Dogfish"
"571",2002,570,"Spring","Black Dogfish"
"572",2002,593,"Spring","Black Dogfish"
"575",2002,586,"Fall","Black Dogfish"
"576",2003,419,"Spring","Black Dogfish"
"577",2003,432,"Spring","Black Dogfish"
"578",2003,412,"Spring","Black Dogfish"
"579",2003,430,"Spring","Black Dogfish"
"580",2003,430,"Spring","Black Dogfish"
"581",2003,422,"Spring","Black Dogfish"
"582",2003,460,"Spring","Black Dogfish"
"583",2003,452,"Spring","Black Dogfish"
"584",2003,436,"Spring","Black Dogfish"
"585",2003,458,"Spring","Black Dogfish"
"586",2003,457,"Spring","Black Dogfish"
"587",2003,424,"Spring","Black Dogfish"
"588",2003,454,"Spring","Black Dogfish"
"589",2003,458,"Spring","Black Dogfish"
"590",2003,458,"Spring","Black Dogfish"
"591",2003,412,"Spring","Black Dogfish"
"592",2003,469,"Spring","Black Dogfish"
"593",2003,458,"Spring","Black Dogfish"
"594",2003,460,"Spring","Black Dogfish"
"595",2003,475,"Spring","Black Dogfish"
"596",2003,466,"Spring","Black Dogfish"
"597",2003,459,"Spring","Black Dogfish"
"598",2003,243,"Spring","Black Dogfish"
"599",2003,348,"Spring","Black Dogfish"
"600",2003,427,"Spring","Black Dogfish"
"601",2003,442,"Spring","Black Dogfish"
"602",2003,461,"Spring","Black Dogfish"
"603",2003,452,"Spring","Black Dogfish"
"604",2003,452,"Spring","Black Dogfish"
"605",2003,416,"Spring","Black Dogfish"
"606",2003,561,"Spring","Black Dogfish"
"608",2003,442,"Fall","Black Dogfish"
"609",2004,95,"Spring","Black Dogfish"
"610",2004,392,"Spring","Black Dogfish"
"611",2004,296,"Spring","Black Dogfish"
"612",2004,428,"Spring","Black Dogfish"
"613",2004,435,"Spring","Black Dogfish"
